	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
16420x14678	0.0036493584	0.15449156	0.012239193	0.36605483	0.2165631	0.13893001	0.0066475915	0.101424344
12623x6591	1.0110167e-09	0.059031896	1.0117516e-09	0.41976756	0.18655232	0.24074726	0.014947027	0.07895391
14815x3748	2.322312e-10	2.3218914e-10	2.3195011e-10	0.88185424	0.052516673	0.043895826	0.021733264	2.3242797e-10
15043x18473	4.2636977e-10	0.07058879	0.019001057	0.6657828	0.11757691	0.11829382	0.008756655	4.270852e-10
19976x12313	0.0005987912	0.07701653	0.037294902	0.48420218	0.07135644	0.26633832	0.05483404	0.008358829
13138x16567	0.014323633	0.016191019	0.04114523	0.78698516	0.06802342	0.032700974	0.019314671	0.02131594
16441x7553	0.0050060633	0.120695494	0.08445285	0.48155504	0.10218699	0.11942558	0.0324603	0.05421763
4946x17492	0.038022913	0.0330797	0.017259812	0.7941032	0.05777296	0.009974143	0.029962176	0.019825017
20087x20626	1.5685439e-10	1.5695616e-10	0.051974747	0.9427708	1.5678829e-10	0.005000547	0.00025383857	1.571161e-10
13821x16332	2.0588481e-10	0.035045043	0.008122637	0.8000028	0.08362953	0.04019216	0.008529186	0.024478646
11119x7299	0.0050195586	0.05328616	0.010438965	0.82538563	0.06492219	0.03133636	3.7147727e-10	0.009611147
14252x9446	0.0069717956	0.018162536	0.004614186	0.7529695	0.12189327	0.076470934	0.018917847	8.6056234e-10
18076x8508	0.013186431	0.05778127	0.03077832	0.67062277	0.12520824	0.045481604	0.013139287	0.043802094
6893x5624	0.007953556	0.015018088	0.011148989	0.7852283	0.04759615	0.058047067	1.7483762e-10	0.07500775
11082x19648	0.0041869762	0.09133943	0.025961753	0.78646356	0.069239184	2.485019e-10	0.014047168	0.008761982
12751x9204	0.013197914	0.005295436	0.021406503	0.81788766	0.050573166	0.05890623	0.032733034	6.733357e-10
16687x16578	3.3179964e-10	3.3145492e-10	0.008866157	0.92371035	0.031599965	0.006793428	0.012652737	0.016377334
16417x15627	2.9380431e-10	0.039555375	0.015707517	0.7931599	0.07857869	0.042180717	0.029734446	0.0010833531
9185x14893	2.7018185e-10	0.14571998	0.04581504	0.48575523	0.0988086	0.1497069	0.015367474	0.058826696
9594x15132	3.7810077e-10	0.083033256	0.05282214	0.3575151	0.18763487	0.16837482	0.048265282	0.10235461
9492x3970	2.009173e-10	0.032977223	0.0057427036	0.80502135	0.07405563	0.052925862	0.0126896165	0.016587572
9338x9431	5.999151e-06	0.0016827445	0.0076766987	0.9054264	0.029507076	0.043483216	2.9720032e-10	0.012217931
18720x21097	5.2624618e-08	0.029229807	0.0022134832	0.9118547	0.040902764	0.010632089	2.7130748e-10	0.00516709
15218x5887	8.406601e-10	0.08227721	0.01882155	0.53621686	0.12854142	0.14072388	0.071767576	0.021651467
13970x12295	0.04141675	0.1108422	0.095044635	0.3021181	0.23422852	0.043165065	0.038391825	0.13479295
5245x8944	0.019188797	0.07155	0.045756847	0.4968172	0.13760598	0.14281565	0.035985097	0.05028045
19285x14924	0.1538209	0.079962835	0.038539805	0.23672438	0.22321844	0.09807946	0.016126666	0.15352763
10445x4685	3.4092612e-10	0.003401434	3.404511e-10	0.9331841	0.036836363	0.02040827	3.4041409e-10	0.0061698
12182x16802	0.01509108	0.01914586	0.008080112	0.8829682	0.029738456	0.03725131	0.0077250046	3.1671496e-10
9874x12758	0.006002862	0.0076076007	0.008902636	0.9260616	0.016605254	0.009189255	0.011758118	0.013872744
16410x18002	0.0069319364	0.053519625	0.023643766	0.8046375	0.04123033	0.055252448	6.6086076e-10	0.014784409
16444x6603	0.004506334	0.07173121	0.003391822	0.5887427	0.13684744	0.11742643	0.055294514	0.022059577
5531x4670	0.009645913	0.014057679	0.019544592	0.75936854	0.08172488	0.012369296	0.012561652	0.09072747
7573x6339	0.0020365648	0.049757168	0.0017711723	0.84415954	0.040181644	0.03915901	0.012221773	0.010713262
16564x12066	5.795549e-10	0.07593671	0.023138082	0.6661814	0.069760345	0.087729804	0.056232776	0.021020876
19040x5899	5.0485416e-10	0.094354555	0.03864711	0.5473975	0.14658366	0.10717386	0.046147697	0.019695649
12893x7542	0.022337966	0.04474203	0.008195163	0.6376963	0.14845605	0.04926571	0.023007616	0.06629916
12890x8492	0.00864201	0.07334487	0.02753388	0.6740667	0.1438687	0.0061635585	0.026709646	0.039670616
16041x4464	0.0001248214	0.10117161	0.1917905	0.3517349	0.10513511	0.110427216	0.09690158	0.042714268
10579x5398	3.6280687e-10	0.011077587	0.0067505413	0.86268175	0.06972588	0.022439076	0.0005239317	0.026801335
6340x7997	2.4847857e-10	0.0075046797	2.483099e-10	0.86354953	0.06762348	0.04261056	0.007649595	0.011061966
7560x10613	1.2876869e-10	1.2872547e-10	0.0053960406	0.9194099	0.04594395	0.012052809	1.2889768e-10	0.01719722
6616x7048	0.009332379	0.025395468	0.021003202	0.70531046	0.12994394	0.041463878	0.026873667	0.04067704
10581x4923	4.3039733e-10	0.02232462	0.013239037	0.8724036	0.054076824	0.02889935	0.003415717	0.0056408
7299x6813	0.01193694	0.035825446	0.011287127	0.80905324	0.06525943	0.041227575	0.004164739	0.02124548
19406x19911	2.1007841e-10	2.0997865e-10	0.0007002256	0.9976828	2.1032578e-10	0.0014793247	2.1014815e-10	0.00013762605
11223x17986	2.2920245e-10	0.023665547	0.0056711407	0.84422	0.095692135	0.01866847	0.0032806715	0.008802089
7578x4914	0.004819027	0.043728862	0.0047752685	0.78773105	0.06978591	0.027095033	0.005199782	0.056865174
16862x3992	0.0019162379	0.04478704	0.0002748919	0.8440182	0.061031964	0.034931455	0.013040219	5.465297e-10
13151x12293	0.010986042	0.004291853	0.0051073986	0.8853235	0.055416875	0.02938257	0.00528604	0.0042057084
7562x10138	0.004817617	9.212898e-11	9.206557e-11	0.88546866	0.04700462	0.033970315	9.203782e-11	0.028738786
14380x12059	0.0020849225	0.054930337	0.08637907	0.5442357	0.12621637	0.10522269	0.031017125	0.049913716
7826x12989	1.02111326e-10	0.002157898	0.0027998677	0.9004409	0.0708499	1.7186406e-10	0.003007264	0.020744106
14789x12298	6.4322736e-10	0.051764302	0.024001077	0.63934475	0.14417951	0.085616246	6.4489686e-10	0.055094123
18730x17772	2.7479558e-10	0.04352241	0.07072322	0.71408725	0.074920915	0.0313415	0.057726696	0.007677957
9177x17743	0.007255228	3.9353187e-10	3.929476e-10	0.9927448	3.9302853e-10	3.9369175e-10	3.9281342e-10	3.933015e-10
16161x9927	7.4418405e-10	0.09603821	0.045001738	0.54288256	0.103613615	0.12943672	0.06776676	0.015260396
13817x17757	2.5910707e-10	0.05873287	0.0043709106	0.75355136	0.089946	0.028676886	8.615341e-05	0.0646358
13275x16330	0.0073346845	0.005095337	0.042380642	0.7618636	0.09057215	0.022133056	0.017991802	0.05262873
18465x15396	0.014004537	0.19480409	0.01838196	0.2517737	0.19412318	0.17397974	0.03447117	0.11846148
6988x19161	0.0044605043	0.01854778	0.008034213	0.9009807	0.015155504	0.015365735	0.033369817	0.004085788
13811x19657	3.9875322e-10	0.014270587	0.021939335	0.8643712	0.030165602	0.042021446	0.022254962	0.0049768877
17129x5893	0.007812094	0.070535414	0.031010685	0.70544225	0.11595917	0.03367932	0.00029386271	0.0352673
8632x17266	0.01492993	0.07170711	0.0029221117	0.8157061	0.035101045	0.047571	0.012062699	6.543271e-10
13141x15617	0.005166026	0.04681285	0.009070381	0.5207093	0.20848304	0.09828698	0.05257191	0.058899447
13834x12057	0.019938672	0.06073071	0.037111685	0.6198065	0.1287905	0.005638156	0.006281801	0.12170187
14910x17285	0.00610622	0.017119925	0.013946761	0.79822254	0.077575	0.051312495	0.020978114	0.014738986
11674x4451	2.7070096e-10	0.01522518	0.008611445	0.87747157	0.056762476	0.025938494	0.00555743	0.010433418
10427x10385	0.015711345	0.07437223	0.03900068	0.60210454	0.100787684	0.093721054	0.03897245	0.03533009
