	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
13611x12604	0.00012029204	0.027211899	0.01291422	0.796632	0.09537336	0.02707364	0.000257643	0.040417057
18931x15227	1.9372047e-10	0.13734826	0.05324656	0.3154845	0.26671344	0.1515073	0.022665123	0.05303471
11828x17114	0.005982193	0.022817824	0.0052630217	0.88948303	0.037934296	0.016258547	0.014541884	0.0077191456
9514x13072	0.008395144	0.008441058	0.009958873	0.83359605	0.080636606	0.019428948	1.3840538e-10	0.039543387
16058x18310	5.38983e-10	0.103087805	0.0179578	0.786596	0.048866462	0.04349187	5.396547e-10	5.4019134e-10
16079x6907	0.055646	0.17958046	0.067133226	0.32311568	0.09441598	0.069883786	0.105559535	0.10466522
7205x6654	0.0058444026	0.05081447	0.023919867	0.6442109	0.11347222	0.017286163	0.06331505	0.08113698
16205x12371	6.708434e-10	0.1582416	0.040214468	0.49267757	0.08166508	0.15382038	0.03911824	0.034262672
18674x6199	2.3285631e-09	0.10736722	0.105119064	0.34476224	0.120965794	0.2670524	0.014488035	0.04024518
12527x7851	0.008650371	0.05932943	0.04880222	0.6102423	0.14577088	0.024765637	0.029700844	0.07273836
12526x8801	0.0013186904	0.05265342	3.829944e-10	0.68404436	0.14781673	0.05903522	0.023433767	0.031697866
10210x5709	2.944247e-10	0.012824611	0.00807937	0.89975905	0.050602674	0.02430086	2.9453312e-10	0.0044333567
5973x8314	2.3178742e-10	0.07979699	0.03708926	0.553165	0.18401763	0.05064739	0.024495427	0.070788234
7197x10929	0.013318482	0.009222192	0.008189729	0.8407643	0.07109622	0.02568806	1.2115955e-10	0.031720936
6248x7364	0.02255645	0.073496275	0.031235214	0.57265615	0.1464847	0.041033156	0.011074488	0.10146356
10211x5234	0.02031182	0.060287	0.009704125	0.7422217	0.07956441	0.05067093	0.019508803	0.017731274
6931x7128	0.0070058475	0.019609472	0.07823135	0.7078498	0.08539359	1.9106977e-10	0.05060454	0.05130536
19058x20216	0.014575507	1.6386614e-10	1.6430429e-10	0.9754018	1.6419496e-10	0.0100226905	1.6392991e-10	1.6441495e-10
10870x18300	2.6468163e-07	0.12726696	0.01885871	0.44028535	0.19318469	0.15478107	0.009757778	0.055865142
7208x5228	7.2479416e-08	0.030879684	0.012004305	0.76066816	0.07860994	0.046995305	0.020037422	0.050805155
12792x12603	0.0030481182	0.01190277	0.0019988853	0.92317724	0.037737798	0.009374688	0.012760551	2.0862885e-10
7198x10454	0.03612607	0.17165712	3.2771297e-10	0.47774795	0.14013141	0.05471827	0.023909364	0.09570982
14021x12367	0.014918932	0.08120387	0.036653776	0.5765584	0.12785801	2.1933183e-10	0.02282604	0.13998105
7466x13306	1.57106e-10	0.043624807	0.01160565	0.7370999	0.1447823	1.5765923e-10	0.008411343	0.054475956
14430x12606	0.022861946	0.07019036	0.010237259	0.42157823	0.31752583	0.017530195	0.023482777	0.11659345
18379x18077	2.4046692e-10	0.110032775	0.031000577	0.66312975	0.029186381	0.07660399	0.09004652	2.4050958e-10
8823x18059	0.017278783	0.013465881	0.02792387	0.7589511	0.11634074	2.2799587e-10	2.2746423e-10	0.06603956
15800x10233	0.031247605	0.12797609	0.044163987	0.5084191	0.1517183	0.13647492	1.1790028e-09	1.1789151e-09
13464x18068	1.8409536e-10	0.03395455	0.03206288	0.7102904	0.11675971	0.031735677	0.06330567	0.011891097
12921x16641	2.551641e-10	0.13283238	0.014258573	0.41244158	0.20013346	0.122362755	0.0012115248	0.11675967
18111x15701	0.0031577572	0.012356746	0.0143405385	0.7890592	0.113937475	0.038627535	0.012268229	0.016252471
6636x19480	2.2254013e-10	0.019576613	0.032712523	0.86466676	0.04897405	0.0055620265	0.009729302	0.018778708
13461x19968	0.0048641125	1.9535704e-10	1.9567364e-10	0.98680633	1.9578789e-10	1.9639267e-10	0.008329519	1.9568558e-10
16763x6196	0.052043393	0.22713652	0.120308176	0.24415383	0.12893374	0.092695735	0.006774909	0.12795378
8277x17583	0.02422551	0.0693331	0.0073560583	0.8263589	0.019627957	0.021605553	0.004554545	0.026938403
12786x15928	0.014240966	0.082986206	0.057366636	0.5756183	0.09441724	0.15830949	0.0063567297	0.010704404
13475x12366	1.887895e-10	0.010638792	0.0004552421	0.92534304	0.022195214	0.010862553	0.009178401	0.021326816
14558x17594	0.0058588907	0.032997113	0.010742625	0.66093653	0.12675355	0.10310743	0.021183062	0.03842077
11304x4761	6.0676253e-10	0.045007344	6.066052e-10	0.70891434	0.119528666	0.037163936	0.03177556	0.057610147
10065x10697	0.0060227443	0.0071724816	0.008319525	0.92181313	0.03611727	0.010358041	0.0038933004	0.0063034925
18388x13325	0.01152967	0.014217471	3.3883424e-10	0.865689	0.031398825	0.05532785	0.021837225	3.3737424e-10
15390x10469	0.029963542	0.11080626	0.05483812	0.3077979	0.2762563	0.0682345	0.028210796	0.12389259
19615x14040	2.0968284e-10	0.25001094	0.082033865	0.24204983	0.06077484	0.23133235	0.1019325	0.03186566
8701x9744	3.2693026e-10	0.06433209	0.030844273	0.76960546	0.0644624	0.035589878	0.027707025	0.0074589453
9791x11172	2.450166e-10	0.06380861	0.029969316	0.6446783	0.1666345	0.05494022	0.0013157749	0.03865326
6363x19005	0.020129297	0.051146306	0.0033606428	0.798168	0.10308647	2.4983574e-10	2.5019914e-10	0.024109317
16073x10233	1.2913929e-09	0.09120038	0.039548017	0.49038467	0.16573308	0.1443001	0.046745084	0.02208864
7047x18293	0.005254254	0.024479054	2.3935595e-10	0.9525093	2.3940708e-10	2.4055963e-10	2.4007973e-10	0.017757352
14571x9993	0.020055415	0.17342453	0.025198836	0.3598791	0.19161744	0.11013607	0.0253077	0.0943809
16065x14509	0.008505707	0.22603929	0.081815444	0.325111	0.11651936	0.19358264	2.889538e-10	0.04842661
9932x8559	0.0033445987	0.025921827	1.9235318e-10	0.7701455	0.13527793	0.020083351	1.9219401e-10	0.04522679
7742x11881	1.4278635e-10	0.0061519197	1.434795e-10	0.8790199	0.06302757	0.013583041	0.0122707905	0.025946785
17293x14749	0.0025048754	0.0076423367	0.00032223313	0.94914454	0.0038968476	0.027703676	0.008785562	1.6055757e-10
6919x13780	1.373104e-10	1.3746107e-10	0.00833516	0.8849052	0.057520516	0.013516005	0.0230568	0.012666324
10050x18774	2.1244592e-10	0.056203824	0.039882835	0.6348197	0.21135269	2.129112e-10	0.03423066	0.023510441
17703x14512	0.00039261018	0.0004518196	1.4320557e-10	0.97662944	1.4342698e-10	0.015027344	0.0074988534	1.4347103e-10
7189x15681	0.005177629	0.099945284	0.2550445	0.37348402	0.084166735	0.06792704	0.08679409	0.027460707
8545x20434	0.012459012	0.06089531	0.027997158	0.87529963	3.6491257e-10	0.0075162644	0.015832575	3.6511374e-10
14423x16406	0.013442314	0.087491035	0.036718033	0.53327453	0.22587255	0.033058558	0.006921764	0.06322123
15104x17595	0.016809573	0.06360885	0.008598559	0.87043464	0.016890293	0.02061954	0.0030384937	2.4586796e-10
17715x8336	0.05032703	0.23341542	0.0858848	0.34559393	0.16758376	0.10190729	0.015287646	1.4192385e-09
8146x14970	1.1689595e-10	0.010849837	0.003385406	0.91317254	0.031023689	0.01497742	1.1694636e-10	0.026591051
17967x19739	2.6518623e-10	2.648693e-10	2.6495972e-10	0.97550154	2.6478847e-10	0.017590022	0.006908517	2.6500468e-10
11850x5237	6.2950384e-10	0.042959176	6.2939814e-10	0.75999314	0.095976055	0.07279335	0.024675883	0.0036024596
13051x20205	0.01101815	0.04578756	0.00081089727	0.80435646	0.13271755	0.0053094244	2.5546226e-10	2.5576455e-10
7604x12593	0.0023149608	0.0030309178	0.0021463602	0.9409058	0.04052805	5.7368094e-10	0.0033235718	0.007750283
19192x21879	0.0023482302	1.13344174e-10	0.0030354331	0.990885	1.13403e-10	3.4924768e-05	1.1311676e-10	0.0036963955
